paper_key,title,year,venue,source,verdict,reason,type,override_verdict
doi:10.33333/lajc.vol12n1.05,Data Domain Servitization for Microservices Architecture,2025,Latin American Journal of Computing,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1016/j.infsof.2024.107599,Causal Reasoning in Software Quality Assurance: A Systematic Review,2024,Information and Software Technology,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/access.2021.3102668,Optimization of Business Process Execution in Services Architecture: A Systematic Literature Review,2021,IEEE Access,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1145/3777375,Chaos Engineering: A Multi-Vocal Literature Review,2024,ACM Computing Surveys,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1134/s0361768820080253,Patterns Related to Microservice Architecture: a Multivocal Literature Review,2020,Programming and computer software,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1145/3524304.3524306,How Can We Cope with the Impact of Microservice Architecture Smells?,2022,International Conference on Software and Computer Applications,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.48550/arxiv.2301.07803,"Relating Edge Computing and Microservices by means of Architecture Approaches and Features, Orchestration, Choreography, and Offloading: A Systematic Literature Review",2023,arXiv.org,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.3390/s23041755,Static-Analysis-Based Solutions to Security Challenges in Cloud-Native Systems: Systematic Mapping Study,2023,Italian National Conference on Sensors,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,sms,EXCLUDE
doi:10.1109/scored68498.2025.11399064,Exploring the Role of RAG in Cloud-Based Monolithic Chatbots: A Systematic Review,2025,Student Conference on Research and Development,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1002/spe.2967,A systematic gray literature review: The technologies and concerns of microservice application programming interfaces,2021,"Software, Practice & Experience",semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/c366505.2025.11340184,Comparative Evaluation of Linkerd and Istio Service Meshes in a Microservices Architecture Application,2025,2025 IEEE Colombian Caribbean Conference (C3),semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.34010/injuratech.v2i2.8364,DevOps Main Area and Core Capabilities Adopting DevOps in the Last Decade: A Systematic Literature Review,2022,International Journal of Research and Applied Technology,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.5753/jserd.2025.5224,From Detection to Refactoring of Microservice Bad Smells: A Systematic Literature Review,2025,Journal of Software Engineering Research and Development,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1051/itmconf/20257901017,Risk-Oriented Analysis and Mitigation Strategies for SOA-to-MSA Migration,2025,ITM Web of Conferences,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/access.2025.3618990,Semantic Approaches to Microservice Identification: A Systematic Literature Review,2025,IEEE Access,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/icoact63339.2025.11005170,AI-Enhanced Anomaly Detection in Software-Defined Networks,2025,2025 International Conference on Advanced Computing Technologies (ICoACT),semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1007/s10207-024-00907-y,Guiding the implementation of data privacy with microservices,2024,International Journal of Information Security,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
ss:1b5f8f97d9c6d2ce83d19ddbd4c21554851cc8e8,Agile architecture in the digital era - trends and practices,2019,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1002/cpe.8294,A systematic multi attributes fuzzy‐based decision‐making to migrate the monolithic paradigm electronic governance applications to new software architecture,2024,Concurrency and Computation,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.9734/ajrcos/2025/v18i5652,"Enhancing Financial Cybersecurity in Cloud Engineering: A Systematic Review of Threats, Mitigation Strategies and Regulatory Compliance",2025,Asian Journal of Research in Computer Science,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/incet57972.2023.10170375,A Systematic Review on the Identification and Classification of Patterns in Microservices,2023,2023 4th International Conference for Emerging Technology (INCET),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.3390/electronics13142885,A Systematic Literature Review on the Strategic Shift to Cloud ERP: Leveraging Microservice Architecture and MSPs for Resilience and Agility,2024,Electronics,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.48550/arxiv.2303.11121,Towards Sustainable DevOps: A Decision Making Framework,2023,arXiv.org,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.7287/peerj-cs.779v0.2/reviews/3,"Peer Review #3 of ""Microservice security: a systematic literature review (v0.2)""",2022,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/temsconlatam65810.2025.11238550,"Prototype of a Web Platform that Identifies Levels of Critical Thinking in University Students, based on the PC-B Test & PC-A Test1",2025,2025 IEEE Technology and Engineering Management Society (TEMSCON LATAM),semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.48550/arxiv.2503.13310,"Generative AI for Software Architecture. Applications, Trends, Challenges, and Future Directions",2025,Journal of Systems and Software,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
ss:2cd8b447b8f6e78036414934332923fe2538ce74,Adoption of microservices in industrial information systems: a systematic literature review,2018,,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/iccit62134.2024.10701144,Comprehensive Framework for Transitioning Monolithic to Microservices in MVC Context,2024,International Conference on Communications and Information Technology,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
