id,title,authors,year,venue,doi
SP1,An empirical model of technical debt and interest,"A. Nugroho, J. Visser, and T. Kuipers",2011,2nd Workshop on Managing Technical Debt (MTD ’11). pp. 1–8,
SP2,Investigating the impact of design debt on software quality,"N. Zazworka, M. A. Shaw, F. Shull, and C. Seaman",2011,2nd Workshop on Managing Technical Debt (MTD ’11). pp. 17–23,
SP3,Prioritizing design debt investment opportunities,"N. Zazworka, C. Seaman, and F. Shull",2011,2nd Workshop on Managing Technical Debt (MTD ’11). pp. 39–42,
SP4,Estimating the Principal of an Application’s Technical Debt,"B. Curtis, J. Sappidi and A. Szynkarski",2012,"IEEE Software, vol. 29, no. 6, pp. 34–42",
SP5,Investigating the impact of code smells debt on quality code evaluation,"F. Arcelli Fontana, V. Ferme, and S. Spinelli",2012,Third International Workshop on Managing Technical Debt (MTD ’12). pp. 15–22,
SP6,Using technical debt data in decision making: Potential decision approaches,C. Seaman et al.,2012,"Third International Workshop on Managing Technical Debt (MTD’12), pp. 45–48",
SP7,Defining the decision factors for managing defects: a technical debt perspective,"W. Snipes, B. Robinson, Y. Guo, and C. Seaman",2012,"Third International Workshop on Managing Technical Debt (MTD ’12), pp. 54–60",
SP8,A formal approach to technical debt decision making,K. Schmid,2013,"9th international ACM Sigsoft conference on Quality of software architectures (QoSA ’13), pp/153-162",
SP9,Challenges to and Solutions for Refactoring Adoption: An Industrial Perspective,"T. Sharma, G. Suryanarayana and G. Samarthyam",2015,"IEEE Software, vol. 32, no. 6, pp. 44–51",
SP10,Investigating Architectural Technical Debt accumulation and refactoring over time: A multiple-case study,"A. Martini, J. Bosch, M. Chaudron",2015,"Information and Software Technology, Volume 67, pp. 237–253",
SP11,On the use of time series and search based software engineering for refactoring recommendation,"H. Wang, M. Kessentini, W. Grosky, and H. Meddeb",2015,7th International Conference on Management of computational and collective intElligence in Digital EcoSystems (MEDES ’15). pp. 35–42,
SP12,Towards Prioritizing Architecture Technical Debt: Information Needs of Architects and Product Owners,A. Martini and J. Bosch,2015,41st Euromicro Conference on Software Engineering and Advanced Applications. pp. 422–429,
SP13,Validating and prioritizing quality rules for managing technical debt: An industrial case study,D. Falessi and A. Voegele,2015,7th International Workshop on Managing Technical Debt (MTD). pp. 41–48,
SP14,Developing Processes to Increase Technical Debt Visibility and Manageability - An Action Research Study in Industry,"J. Yli-Huumo, A. Maglyas, K. Smolander, J. Haller and H. Törnroos",2016,Product-Focused Software Process Improvement. pp. 368–378,
SP15,Exploring the costs of technical debt management - a case study,"Y. Guo, R. Oliveira Spínola, and C. Seaman",2016,"Empirical Softw. Engg. Volume 21(1), pp. 159–182",
SP16,How do software development teams manage technical debt? - An empirical study,"J. Yli-Huumo, A. Maglyas, and K. Smolander",2016,"Journal of System and Software, Vol. 120, C, pp. 195–218",
SP17,"Xiao, Yuanfang Cai, Rick Kazman, Ran Mo, and Qiong Feng",U,2016,"Identifying and quantifying architectural debt. 38th International Conference on Software Engineering (ICSE ’16), pp. 488–498",
