paper_key,title,year,venue,doi,paperId,classification_type,refs_cache_filename,manual_refs_status,notes
doi:10.1007/978-3-031-08965-7_14,Exploring Technical Debt Tools: A Systematic Mapping Study,2021,International Conference on Enterprise Information Systems,10.1007/978-3-031-08965-7_14,9fcdbd8b8aec1cf8b6a0980690ea4c3935fe8b61,sms,doi_10.1007_978-3-031-08965-7_14.json,crossref_ok,32 refs from Crossref
doi:10.1016/j.infsof.2015.04.001,The financial aspect of managing technical debt: A systematic literature review,2015,Information and Software Technology,10.1016/J.INFSOF.2015.04.001,de5db6c07899c1d90b4ff4428e68b2dd799b9d6e,slr,doi_10.1016_j.infsof.2015.04.001.json,crossref_ok,39 refs from Crossref
doi:10.1016/j.infsof.2015.10.008,Identification and management of technical debt: A systematic mapping study,2016,Information and Software Technology,10.1016/J.INFSOF.2015.10.008,cbdc26a00700e32838a7e507aad241905fe8b7e3,sms,doi_10.1016_j.infsof.2015.10.008.json,crossref_ok,20 refs from Crossref
doi:10.1016/j.jss.2014.12.027,A systematic mapping study on technical debt and its management,2015,Journal of Systems and Software,10.1016/J.JSS.2014.12.027,c5dbd495acd573d4959a84fe9cdc1f78d57599c8,sms,doi_10.1016_j.jss.2014.12.027.json,crossref_ok,33 refs from Crossref
doi:10.1016/j.jss.2016.10.018,Identification and analysis of the elements required to manage technical debt by means of a systematic mapping study,2017,Journal of Systems and Software,10.1016/J.JSS.2016.10.018,8c7bc5a527f55c79ac7e82cd27508f6ea2e4d95b,sms,doi_10.1016_j.jss.2016.10.018.json,crossref_ok,81 refs from Crossref
doi:10.1016/j.jss.2017.09.025,Managing architectural technical debt: A unified model and systematic literature review,2018,Journal of Systems and Software,10.1016/J.JSS.2017.09.025,12729f342bbb97f35f546d344754d8fdd168361b,slr,doi_10.1016_j.jss.2017.09.025.json,crossref_ok,74 refs from Crossref
doi:10.1109/access.2026.3661069,Automated Detection of Self-Admitted Technical Debt: A Systematic Literature Review,2026,IEEE Access,10.1109/ACCESS.2026.3661069,4e4fd4b2de610ab361ca493d33c129b5303626d1,slr,doi_10.1109_access.2026.3661069.json,crossref_ok,22 refs from Crossref
doi:10.1109/amitic68284.2025.11214613,Social Debt in Agile Software Development,2025,"2025 IEEE VIII Congreso Internacional en Inteligencia Ambiental, Ingenieria de Software y Salud Electronica y Movil (AmITIC)",10.1109/AmITIC68284.2025.11214613,3b652b58e72513bbc615b5086763c125a7e9e3ad,slr,doi_10.1109_amitic68284.2025.11214613.json,crossref_empty,no references in Crossref deposit
doi:10.1109/conisoft55708.2022.00032,A Systematic Mapping Study on Technical Debt in Microservices,2022,2022 10th International Conference in Software Engineering Research and Innovation (CONISOFT),10.1109/CONISOFT55708.2022.00032,806dd92bbcb55ca1012c431ade4acd1ec8375b0c,sms,doi_10.1109_conisoft55708.2022.00032.json,crossref_ok,5 refs from Crossref
doi:10.1109/fie63693.2025.11328472,"Assessing Refactoring in Education: A Systematic Literature Review on Evaluation, Goals, and Impact",2025,Frontiers in Education Conference,10.1109/FIE63693.2025.11328472,9989edc818c8080ea322cc6331a44dfdc9ac11f5,slr,doi_10.1109_fie63693.2025.11328472.json,crossref_ok,7 refs from Crossref
doi:10.1109/iccsa50381.2020.00018,Continuous practices and technical debt: a systematic literature review,2020,Communication Systems and Applications,10.1109/ICCSA50381.2020.00018,5e544663f228ab395e363ee34254dff9126a9503,slr,doi_10.1109_iccsa50381.2020.00018.json,crossref_empty,no references in Crossref deposit
doi:10.1109/isitia63062.2024.10667758,The Influence of Portfolio Management on Evaluating IT Investments in Digital Transformation: A Systematic Literature Review,2024,International Seminar on Intelligent Technology and Its Applications,10.1109/ISITIA63062.2024.10667758,dd43bcb2a1b031a4fe3c23bd9051b5e4eb3b8eb4,slr,doi_10.1109_isitia63062.2024.10667758.json,crossref_ok,5 refs from Crossref
doi:10.1109/re57278.2023.00021,Quantifying Requirements Technical Debt: A Systematic Mapping Study and a Conceptual Model,2023,IEEE International Requirements Engineering Conference,10.1109/RE57278.2023.00021,04af4773b11a8b78dd4a2b5fd7fa3cf29bbe8a06,sms,doi_10.1109_re57278.2023.00021.json,crossref_ok,4 refs from Crossref
doi:10.1109/seaa53835.2021.00034,"Technical Debt Prioritization: Taxonomy, Methods Results, and Practical Characteristics",2021,EUROMICRO Conference on Software Engineering and Advanced Applications,10.1109/SEAA53835.2021.00034,58cc3d8cafe9e3448faab8f5146635bb786fecf7,slr,doi_10.1109_seaa53835.2021.00034.json,crossref_ok,9 refs from Crossref
doi:10.1109/seaa56994.2022.00050,"Quantifying TD Interest: Are we Getting Closer, or Not Even That?",2022,EUROMICRO Conference on Software Engineering and Advanced Applications,10.1109/SEAA56994.2022.00050,d076b6898e59a35ee59a7cf0e61c6380407aa48c,slr,doi_10.1109_seaa56994.2022.00050.json,crossref_ok,10 refs from Crossref
doi:10.1109/techdebt66644.2025.00012,Requirements Technical Debt Through the Lens of Environment Assumptions,2025,2025 IEEE/ACM International Conference on Technical Debt (TechDebt),10.1109/TechDebt66644.2025.00012,8d7ed2c95cfebc53f35ed092ef24089b51a77263,slr,doi_10.1109_techdebt66644.2025.00012.json,crossref_ok,10 refs from Crossref
doi:10.1109/tse.2022.3214764,Managing Technical Debt Using Intelligent Techniques - A Systematic Mapping Study,2023,IEEE Transactions on Software Engineering,10.1109/TSE.2022.3214764,bb5c82370775f21c4ac44ed66e5d6ca13ea21d42,sms,doi_10.1109_tse.2022.3214764.json,crossref_ok,10 refs from Crossref
doi:10.1109/uyms50627.2020.9247070,Methods for Identifying Architectural Debt: A Systematic Mapping Study,2020,Ulusal Yazılım Mühendisliği Sempozyumu,10.1109/UYMS50627.2020.9247070,dbc84d61f32ec6815bd61aa84fb1fc22e3023788,sms,doi_10.1109_uyms50627.2020.9247070.json,crossref_ok,5 refs from Crossref
doi:10.1145/3194164.3194171,Trade-Off Decisions across Time in Technical Debt Management: A Systematic Literature Review,2018,2018 IEEE/ACM International Conference on Technical Debt (TechDebt),10.1145/3194164.3194171,f4aab36efc098974fcf1b8f57814b5e19f03ee81,slr,doi_10.1145_3194164.3194171.json,crossref_ok,19 refs from Crossref
doi:10.1145/3275245.3275267,"Technical Debt Management in Brazilian Software Organizations: A Need, an Expectation, or a Fact?",2018,Brazilian Symposium on Software Quality,10.1145/3275245.3275267,8978daa8713233a0d29457a1db6216a286a308b9,slr,doi_10.1145_3275245.3275267.json,crossref_ok,9 refs from Crossref
doi:10.1145/3364641.3364679,Technologies to Support the Technical Debt Management in Software Projects: A Qualitative Research,2019,Brazilian Symposium on Software Quality,10.1145/3364641.3364679,a7c9332a04fccdedaa499af43edb7f2f602e917b,slr,doi_10.1145_3364641.3364679.json,crossref_empty,no references in Crossref deposit
doi:10.1145/3387906.3388630,A Systematic Literature Review of Technical Debt Prioritization,2020,2020 IEEE/ACM International Conference on Technical Debt (TechDebt),10.1145/3387906.3388630,6c223302205435fc49e8518ff85873af24057c6c,slr,doi_10.1145_3387906.3388630.json,crossref_ok,29 refs from Crossref
