paper_key,bucket,year,citationCount,title,venue,abstract_excerpt,KEEP_OR_DROP
doi:10.1016/j.chb.2014.10.046,A,2015,511,A systematic literature review on agile requirements engineering practices and challenges,Computers in Human Behavior,,
doi:10.1016/j.infsof.2014.02.001,A,2014,411,A systematic literature review of software requirements prioritization research,Information and Software Technology,,
doi:10.1109/re.2006.17,A,2006,363,Effectiveness of Requirements Elicitation Techniques: Empirical Results Derived from a Systematic Review,IEEE International Requirements Engineering Conference,,
doi:10.1016/j.csi.2016.08.011,A,2017,325,Agile Requirements Engineering: A systematic literature review,Comput. Stand. Interfaces,"Abstract Nowadays, Agile Software Development (ASD) is used to cope with increasing complexity in system development. Hybrid development models, with the integration of User-Centered Design (UCD), are applied with the aim to deliver competitive products with a suitable User Experience (UX). Therefore, stakeholder and u…",
doi:10.1016/j.csi.2010.01.006,A,2010,220,A systematic review of security requirements engineering,Comput. Stand. Interfaces,,
doi:10.1007/s00766-015-0222-6,A,2015,208,Applications of ontologies in requirements engineering: a systematic review of the literature,Requirements Engineering,,
ss:543abfa0999008690c095810ceba065ee074e810,A,2020,205,Natural Language Processing for Requirements Engineering: A Systematic Mapping Study,,,
doi:10.1007/s00766-017-0280-z,A,2017,196,Goal-oriented requirements engineering: an extended systematic mapping study,Requirements Engineering,"Over the last two decades, much attention has been paid to the area of goal-oriented requirements engineering (GORE), where goals are used as a useful conceptualization to elicit, model, and analyze requirements, capturing alternatives and conflicts. Goal modeling has been adapted and applied to many sub-topics within …",
doi:10.1016/j.eswa.2019.02.031,A,2019,192,A review of machine learning algorithms for identification and classification of non-functional requirements,Expert Systems with Applications: X,Abstract Context Recent developments in requirements engineering (RE) methods have seen a surge in using machine-learning (ML) algorithms to solve some difficult RE problems. One such problem is identification and classification of non-functional requirements (NFRs) in requirements documents. ML-based approaches to thi…,
doi:10.1145/3444689,A,2021,185,Natural Language Processing for Requirements Engineering,ACM Computing Surveys,"Natural Language Processing for Requirements Engineering (NLP4RE) is an area of research and development that seeks to apply natural language processing (NLP) techniques, tools, and resources to the requirements engineering (RE) process, to support human analysts to carry out various linguistic analysis tasks on textua…",
doi:10.1016/j.jss.2012.04.075,A,2012,156,A systematic literature review of stakeholder identification methods in requirements elicitation,Journal of Systems and Software,,
doi:10.1007/s00766-013-0192-5,A,2013,146,Requirements engineering education: a systematic mapping study,Requirements Engineering,,
doi:10.1049/iet-sen.2017.0144,A,2018,126,Requirements elicitation techniques: a systematic literature review based on the maturity of the techniques,IET Software,"Requirements elicitation is a critical activity that forms part of the requirements engineering process because it has to discover what the software must do through a solid understanding of the wishes and needs of the various stakeholders and to transform them into software requirements. However, in spite of its releva…",
doi:10.1007/978-3-642-16129-2_16,A,2010,114,A systematic review of the use of requirements engineering techniques in model-driven development,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,,
doi:10.1007/s00766-009-0080-1,A,2009,101,Technology transfer decision support in requirements engineering research: a systematic review of REj,Requirements Engineering,,
doi:10.48550/arxiv.2212.10693,A,2022,98,Requirements Engineering for Artificial Intelligence Systems: A Systematic Mapping Study,Information and Software Technology,"[Context] In traditional software systems, Requirements Engineering (RE) activities are well-established and researched. However, building Artificial Intelligence (AI) based software with limited or no insight into the system's inner workings poses significant new challenges to RE. Existing literature has focused on us…",
doi:10.1016/j.infsof.2016.04.002,A,2016,93,Requirements engineering for safety-critical systems: A systematic literature review,Information and Software Technology,,
