slr_id,slr_title,slr_year,slr_venue,slr_type,n_refs,eligible_top_n,hits,misses,coverage_pct
doi:10.33022/ijcs.v12i6.3612,Lean and Agile Software Development for Managing Technical Debt on A Large-scale Software: A Systematic Literature Review,2024,Indonesian Journal of Computer Science,slr,44,49,1,48,2.04
doi:10.1016/j.jss.2020.110827,"A systematic literature review on Technical Debt prioritization: Strategies, processes, factors, and tools",2021,Journal of Systems and Software,slr,76,25,9,16,36.0
doi:10.48550/arxiv.2406.12026,Systematic literature review on forecasting and prediction of technical debt evolution,2024,arXiv.org,slr,55,49,8,41,16.33
doi:10.1109/access.2026.3661069,Automated Detection of Self-Admitted Technical Debt: A Systematic Literature Review,2026,IEEE Access,slr,22,50,0,50,0.0
doi:10.1002/sys.21681,Technical debt in systems engineering—A systematic literature review,2023,Systems Engineering,slr,43,44,3,41,6.82
doi:10.1016/j.jss.2022.111483,Identification and measurement of Requirements Technical Debt in software development: A systematic literature review,2022,Journal of Systems and Software,slr,105,25,10,15,40.0
doi:10.1016/j.infsof.2016.10.004,Analyzing the concept of technical debt in the context of agile software development: A systematic literature review,2017,Information and Software Technology,slr,58,22,6,16,27.27
doi:10.1145/3387906.3388630,A Systematic Literature Review of Technical Debt Prioritization,2020,2020 IEEE/ACM International Conference on Technical Debt (TechDebt),slr,29,24,1,23,4.17
ss:5fc62339115dd42c4b6a521204ce70f37a24bfec,Identification and Measurement of Technical Debt Requirements in Software Development: a Systematic Literature Review,2021,arXiv.org,slr,96,25,10,15,40.0
doi:10.1016/j.jss.2017.09.025,Managing architectural technical debt: A unified model and systematic literature review,2018,Journal of Systems and Software,slr,74,24,5,19,20.83
doi:10.1007/978-3-030-57599-1_10,Technical Debt Management: A Systematic Literature Review and Research Agenda for Digital Government,2020,International Conference on Electronic Government,slr,34,24,4,20,16.67
ss:ecd5e2bb6b635c01b8dd0ee37487f2a78fa8b680,Technical Debt Prioritization: State of the Art. A Systematic Literature Review,2019,arXiv.org,slr,75,24,9,15,37.5
doi:10.5220/0007675900950106,Automated Measurement of Technical Debt: A Systematic Literature Review,2019,International Conference on Enterprise Information Systems,slr,52,24,6,18,25.0
doi:10.1145/3194164.3194171,Trade-Off Decisions across Time in Technical Debt Management: A Systematic Literature Review,2018,2018 IEEE/ACM International Conference on Technical Debt (TechDebt),slr,19,24,0,24,0.0
doi:10.1016/j.infsof.2015.04.001,The financial aspect of managing technical debt: A systematic literature review,2015,Information and Software Technology,slr,39,16,4,12,25.0
doi:10.1109/fie63693.2025.11328472,"Assessing Refactoring in Education: A Systematic Literature Review on Evaluation, Goals, and Impact",2025,Frontiers in Education Conference,slr,7,50,0,50,0.0
doi:10.1109/isitia63062.2024.10667758,The Influence of Portfolio Management on Evaluating IT Investments in Digital Transformation: A Systematic Literature Review,2024,International Seminar on Intelligent Technology and Its Applications,slr,5,49,0,49,0.0
doi:10.12720/jait.14.5.991-1002,Research Opportunities in Microservices Quality Assessment: A Systematic Literature Review,2023,Journal of Advances in Information Technology,slr,87,44,0,44,0.0
doi:10.1145/3592813.3592925,Identifying and Measuring Technical Debt in Software Requirements: a supporting guide,2023,Brazilian Symposium on Information Systems,slr,20,44,0,44,0.0
doi:10.1145/3524843.3528092,An Architecture Smell Knowledge Base for Managing Architecture Technical Debt,2022,2022 IEEE/ACM International Conference on Technical Debt (TechDebt),slr,10,25,0,25,0.0
doi:10.2478/ausi-2021-0016,Reproducibility in the technical debt domain,2021,Acta Universitatis Sapientiae: Informatica,slr,62,25,2,23,8.0
doi:10.1145/3275245.3275267,"Technical Debt Management in Brazilian Software Organizations: A Need, an Expectation, or a Fact?",2018,Brazilian Symposium on Software Quality,slr,9,24,0,24,0.0
doi:10.1109/uyms50627.2020.9247070,Methods for Identifying Architectural Debt: A Systematic Mapping Study,2020,Ulusal Yazılım Mühendisliği Sempozyumu,sms,5,24,0,24,0.0
doi:10.1145/3629479.3629513,Variability Debt: A Multi-method Study,2023,Brazilian Symposium on Software Quality,slr,13,44,0,44,0.0
doi:10.48550/arxiv.2601.20879,"A Survey on Large Language Model Impact on Software Evolvability and Maintainability: the Good, the Bad, the Ugly, and the Remedy",2026,arXiv.org,survey,45,50,0,50,0.0
doi:10.48550/arxiv.2412.14217,Development and Adoption of SATD Detection Tools: A State-of-practice Report,2024,BElgian-NEtherlands software eVOLution symposium,slr,36,49,1,48,2.04
ss:fdd97b88db207bd2429c1b73454dd19f9a351136,Systematically reviewing the layered architectural pattern principles and their use to reconstruct software architectures,2021,arXiv.org,slr,179,25,3,22,12.0
doi:10.1002/smr.70104,Self‐Admitted Technical Debt Detection Approaches: A Decade Systematic Review,2023,Journal of Software: Evolution and Process,slr,129,44,11,33,25.0
doi:10.1109/tse.2022.3214764,Managing Technical Debt Using Intelligent Techniques - A Systematic Mapping Study,2023,IEEE Transactions on Software Engineering,sms,10,44,0,44,0.0
doi:10.5753/jserd.2023.2671,Identification and Management of Technical Debt: A Systematic Mapping Study Update,2023,Journal of Software Engineering Research and Development,sms,101,44,5,39,11.36
doi:10.1109/re57278.2023.00021,Quantifying Requirements Technical Debt: A Systematic Mapping Study and a Conceptual Model,2023,IEEE International Requirements Engineering Conference,sms,4,44,0,44,0.0
doi:10.1109/techdebt66644.2025.00012,Requirements Technical Debt Through the Lens of Environment Assumptions,2025,2025 IEEE/ACM International Conference on Technical Debt (TechDebt),slr,10,50,0,50,0.0
doi:10.1007/s00766-024-00424-3,Modelling the quantification of requirements technical debt,2024,Requirements Engineering,slr,82,49,5,44,10.2
doi:10.1109/conisoft55708.2022.00032,A Systematic Mapping Study on Technical Debt in Microservices,2022,2022 10th International Conference in Software Engineering Research and Innovation (CONISOFT),sms,5,25,0,25,0.0
doi:10.70315/uloap.ulirs.2026.0301009,Accelerating Mobile Application Development and Testing with Artificial Intelligence: A Systematic Literature Review,2026,Universal Library of Innovative Research and Studies,slr,28,50,0,50,0.0
doi:10.1016/j.jss.2016.10.018,Identification and analysis of the elements required to manage technical debt by means of a systematic mapping study,2017,Journal of Systems and Software,sms,81,22,6,16,27.27
doi:10.1109/techdebt52882.2021.00016,Characterizing Technical Debt and Antipatterns in AI-Based Systems: A Systematic Mapping Study,2021,2021 IEEE/ACM International Conference on Technical Debt (TechDebt),sms,55,25,5,20,20.0
doi:10.5220/0005914605720579,Decision Criteria for the Payment of Technical Debt in Software Projects: A Systematic Mapping Study,2016,International Conference on Enterprise Information Systems,sms,18,19,6,13,31.58
doi:10.1109/seaa53835.2021.00034,"Technical Debt Prioritization: Taxonomy, Methods Results, and Practical Characteristics",2021,EUROMICRO Conference on Software Engineering and Advanced Applications,slr,9,25,1,24,4.0
doi:10.48550/arxiv.2407.14991,Investigating the use of Snowballing on Gray Literature Reviews,2024,arXiv.org,slr,24,49,1,48,2.04
ss:b1493d15df91d58ae6c5f052deda332479b27edf,The State of Generative AI in Software Development: Insights from Literature and a Developer Survey,2026,,survey,64,50,1,49,2.0
doi:10.1016/j.infsof.2019.106225,Management of quality requirements in agile and rapid software development: A systematic mapping study,2020,Information and Software Technology,sms,70,24,0,24,0.0
doi:10.1002/smr.2516,"The Pandora's box of social, process, and people debts in software engineering",2022,J. Softw. Evol. Process.,slr,48,25,4,21,16.0
doi:10.1007/s10664-022-10134-5,A comprehensive overview of software product management challenges,2022,Empirical Software Engineering,slr,104,25,0,25,0.0
