paper_key,bucket,year,citationCount,title,venue,abstract_excerpt,KEEP_OR_DROP
doi:10.1109/soca.2016.15,A,2016,402,A Systematic Mapping Study in Microservice Architecture,IEEE International Conference on Service-Oriented Computing and Applications,"The accelerating progress of network speed, reliability and security creates an increasing demand to move software and services from being stored and processed locally on users' machines to being managed by third parties that are accessible through the network. This has created t…",
doi:10.5220/0005785501370146,A,2016,310,Microservices: A Systematic Mapping Study,International Conference on Cloud Computing and Services Science,"Microservices have recently emerged as an architectural style, addressing how to build, manage, and evolve    architectures out of small, self-contained units. Particularly in the cloud, the microservices architecture approach    seems to be an ideal complementation of container …",
doi:10.1016/j.jss.2019.01.001,A,2019,207,Architecting with microservices: A systematic mapping study,Journal of Systems and Software,"Abstract Context A microservice architecture is composed of a set of small services, each running in its own process and communicating with lightweight mechanisms. Many aspects on architecting with microservices are still unexplored and existing research is still far from being c…",
doi:10.5220/0006798302210232,A,2018,205,Architectural Patterns for Microservices: A Systematic Mapping Study,International Conference on Cloud Computing and Services Science,"Microservices is an architectural style increasing in popularity. However, there is still a lack of understanding how to adopt a microservice-based architectural style. We aim at characterizing different microservice architectural style patterns and the principles that guide thei…",
doi:10.1016/j.infsof.2020.106449,A,2021,143,Understanding and addressing quality attributes of microservices architecture: A Systematic literature review,Information and Software Technology,"Abstract Context: As a rapidly adopted architectural style in software engineering, Microservices Architecture (MSA) advocates implementing small-scale and independently distributed services, rather than binding all functions into one monolith. Although many initiatives have cont…",
doi:10.1016/j.jss.2020.110798,A,2020,133,A Systematic Mapping Study on Microservices Architecture in DevOps,Journal of Systems and Software,"Abstract Context: Applying Microservices Architecture (MSA) in DevOps has received significant attention in recent years. However, there exists no comprehensive review of the state of research on this topic. Objective: This work aims to systematically identify, analyze, and class…",
doi:10.1016/j.jss.2021.111014,A,2021,109,Deployment and communication patterns in microservice architectures: A systematic literature review,Journal of Systems and Software,,
doi:10.14778/3484224.3484232,A,2021,108,"Data Management in Microservices: State of the Practice, Challenges, and Research Directions",Proceedings of the VLDB Endowment,"Microservices have become a popular architectural style for data-driven applications, given their ability to functionally decompose an application into small and autonomous services to achieve scalability, strong isolation, and specialization of database systems to the workloads …",
doi:10.1109/tse.2023.3287297,A,2023,101,Decomposition of Monolith Applications Into Microservices Architectures: A Systematic Review,IEEE Transactions on Software Engineering,"Microservices architecture has gained significant traction, in part owing to its potential to deliver scalable, robust, agile, and failure-resilient software products. Consequently, many companies that use large and complex software systems are actively looking for automated solu…",
doi:10.1016/j.cosrev.2021.100415,A,2020,93,Securing Microservices and Microservice Architectures: A Systematic Mapping Study,Computer Science Review,Microservice architectures (MSA) are becoming trending alternatives to existing software development paradigms notably for developing complex and distributed applications. Microservices emerged as an architectural design pattern aiming to address the scalability and ease the main…,
